Gene,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,cell_64,cell_65,cell_66,cell_67,cell_68,cell_69,cell_70,cell_71,cell_72,cell_73,cell_74,cell_75,cell_76,cell_77,cell_78,cell_79,cell_80,cell_81,cell_82,cell_83,cell_84,cell_85,cell_86,cell_87,cell_88,cell_89,cell_90,cell_91,cell_92,cell_93,cell_94,cell_95,cell_96
KIAA1456,22,3,3,5,1,14,9,5,3,9,0,14,7,6,3,9,3,3,11,17,4,10,20,12,3,17,12,9,8,21,2,9,3,11,6,9,7,4,12,5,12,22,21,2,7,11,2,17,3,8,5,3,9,22,5,16,9,17,12,12,14,3,1,22,0,16,4,3,1,9,16,16,4,3,6,2,11,12,20,5,9,20,21,11,12,21,4,4,14,2,4,7,14,3,20,4
TRMT11,17,20,8,5,6,9,16,3,5,14,8,9,8,8,3,14,3,20,14,15,4,3,10,12,10,15,12,16,4,22,4,16,2,4,3,16,5,6,27,3,12,17,22,8,3,14,8,15,20,3,5,20,8,17,7,15,14,15,27,27,9,3,6,17,6,15,2,8,9,3,15,15,4,5,5,5,14,27,10,4,14,10,22,14,12,22,10,4,9,3,8,4,9,1,10,4
EEFSEC,18,8,8,7,11,21,17,5,2,14,6,21,7,4,2,14,8,8,11,12,3,4,25,17,8,12,17,17,4,18,10,17,5,5,3,17,5,3,24,10,17,18,18,7,1,11,7,12,8,3,8,8,2,18,4,18,14,12,24,24,21,4,3,18,3,18,9,8,6,6,18,18,3,3,4,3,11,24,25,4,14,25,18,11,17,18,8,6,9,2,7,3,21,7,25,4
YRDC,22,14,3,2,11,17,12,6,4,17,4,17,6,4,4,17,6,14,19,8,6,5,21,18,6,8,18,12,2,14,6,12,3,3,5,12,7,9,16,3,18,22,14,6,3,19,8,8,14,7,9,14,4,22,3,9,17,8,16,16,17,4,1,22,9,9,5,3,6,1,9,9,4,3,4,8,19,16,21,5,17,21,14,19,18,14,5,2,3,7,2,6,17,6,21,5
THUMPD2,12,9,4,4,4,3,22,6,4,17,6,3,3,4,6,17,3,9,20,9,3,3,21,11,4,9,11,22,7,12,9,22,6,4,2,22,4,4,16,0,11,12,12,1,3,20,9,9,9,2,9,9,5,12,7,14,17,9,16,16,3,11,5,12,4,14,5,8,4,7,14,14,7,8,5,4,20,16,21,7,17,21,12,20,11,12,5,7,2,5,7,3,3,7,21,5
AARSD1,12,14,7,4,5,20,17,1,3,15,5,20,7,5,5,15,4,14,10,16,4,5,22,14,3,16,14,17,4,27,6,17,5,9,4,17,3,6,15,3,14,12,27,4,5,10,6,16,14,6,6,14,6,12,6,9,15,16,15,15,20,7,7,12,6,9,4,4,3,5,9,9,5,4,7,6,10,15,22,5,15,22,27,10,14,27,5,5,2,6,3,1,20,4,22,2
TRMT1L,17,14,6,7,5,8,18,6,12,12,4,8,4,2,2,12,3,14,25,17,4,6,18,11,4,17,11,18,8,24,5,18,9,8,4,18,7,4,18,8,11,17,24,6,4,25,4,17,14,2,4,14,6,17,7,21,12,17,18,18,8,5,9,17,9,21,3,14,3,5,21,21,6,6,8,7,25,18,18,7,12,18,24,25,11,24,6,8,5,4,8,5,8,1,18,1
EIF2A,18,17,4,2,9,14,22,3,2,8,8,14,4,5,5,8,8,17,21,12,2,9,14,19,3,12,19,22,9,16,6,22,2,7,9,22,8,8,9,9,19,18,16,0,10,21,10,12,17,4,5,17,2,18,4,17,8,12,9,9,14,3,6,18,6,17,7,2,6,11,17,17,5,3,3,10,21,9,14,9,8,14,16,21,19,16,5,6,4,2,5,2,14,2,14,3
CTU1,11,17,4,3,3,9,12,4,3,9,4,9,9,7,6,9,4,17,21,22,8,7,12,20,7,22,20,12,4,16,4,12,7,11,10,12,7,10,14,10,20,11,16,9,3,21,5,22,17,3,3,17,4,11,5,3,9,22,14,14,9,6,6,11,5,3,4,5,9,3,3,3,2,8,1,8,21,14,12,4,9,12,16,21,20,16,4,6,3,8,5,3,9,7,12,7
SLFN11,14,15,8,9,6,14,12,4,2,16,2,14,6,6,7,16,3,15,22,17,7,11,27,10,3,17,10,12,2,15,9,12,2,8,5,12,4,3,9,2,10,14,15,2,1,22,5,17,15,4,4,15,1,14,4,20,16,17,9,9,14,2,8,14,4,20,4,6,3,9,20,20,6,4,6,8,22,9,27,3,16,27,15,22,10,15,5,2,3,5,9,2,14,3,27,4
ALKBH8,11,12,10,2,6,14,17,8,9,17,11,14,8,2,2,17,6,12,18,18,5,6,24,25,10,18,25,17,6,18,7,17,4,6,5,17,4,1,21,6,25,11,18,7,2,18,3,18,12,7,6,12,12,11,5,8,17,18,21,21,14,6,11,11,6,8,4,7,3,4,8,8,5,12,1,3,18,21,24,6,17,24,18,18,25,18,3,3,4,3,7,5,14,3,24,9
FDXACB1,19,8,6,6,3,17,18,3,9,12,4,17,4,4,2,12,4,8,14,22,7,4,16,21,7,22,21,18,7,9,6,18,6,6,3,18,8,1,17,11,21,19,9,2,3,14,7,22,8,7,3,8,8,19,4,14,12,22,17,17,17,6,6,19,7,14,5,4,4,4,14,14,2,2,1,5,14,17,16,5,12,16,9,14,21,9,4,6,3,1,1,3,17,1,16,1
TRMT10A,20,9,9,8,4,17,11,6,7,22,7,17,5,4,2,22,3,9,12,12,2,5,16,21,4,12,21,11,6,14,4,11,7,6,2,11,6,5,3,2,21,20,14,4,2,12,2,12,9,2,3,9,4,20,2,9,22,12,3,3,17,6,5,20,3,9,4,6,5,3,9,9,4,4,5,10,12,3,16,4,22,16,14,12,21,14,6,6,3,5,3,5,17,5,16,4
PSTK,10,16,4,3,4,15,14,5,1,17,9,15,3,4,2,17,7,16,27,12,2,1,15,22,10,12,22,14,5,9,6,14,5,1,5,14,3,4,20,5,22,10,9,9,4,27,5,12,16,3,8,16,10,10,5,14,17,12,20,20,15,4,4,10,7,14,7,5,9,6,14,14,3,4,3,6,27,20,15,6,17,15,9,27,22,9,2,6,1,13,2,6,15,6,15,3
EARS2,25,17,8,10,1,12,11,6,2,18,10,12,4,8,4,18,8,17,24,17,2,8,18,18,4,17,18,11,2,21,8,11,2,4,9,11,5,5,8,4,18,25,21,1,4,24,5,17,17,4,7,17,9,25,6,14,18,17,8,8,12,3,3,25,6,14,5,8,4,8,14,14,3,2,3,9,24,8,18,5,18,18,21,24,18,21,5,8,8,4,4,3,12,6,18,3
TYW5,21,12,5,8,4,8,19,4,7,22,6,8,5,3,6,22,2,12,16,18,6,5,9,14,4,18,14,19,8,17,12,19,8,4,6,19,4,3,14,3,14,21,17,3,1,16,11,18,12,1,1,12,6,21,10,17,22,18,14,14,8,4,3,21,7,17,14,5,1,1,17,17,6,5,5,2,16,14,9,7,22,9,17,16,14,17,4,6,5,2,6,1,8,6,9,5
NSUN6,21,22,8,5,6,9,20,6,0,12,4,9,7,6,5,12,5,22,16,11,4,4,14,12,2,11,12,20,7,3,3,20,7,4,2,20,7,4,9,3,12,21,3,6,4,16,8,11,22,3,8,22,3,21,8,17,12,11,9,9,9,8,6,21,7,17,2,9,1,9,17,17,8,2,6,7,16,9,14,2,12,14,3,16,12,3,4,3,5,1,10,5,9,5,14,5
CTU2,22,17,8,2,7,16,10,10,4,12,4,16,6,4,5,12,6,17,15,14,5,2,9,27,6,14,27,10,8,20,5,10,8,1,2,10,6,4,14,9,27,22,20,4,5,15,3,14,17,7,4,17,11,22,10,15,12,14,14,14,16,8,2,22,6,15,8,8,5,7,15,15,1,8,6,5,15,14,9,8,12,9,20,15,27,20,1,0,8,4,4,2,16,5,9,8
EIF2AK4,18,18,2,3,3,17,25,9,3,17,9,17,3,2,5,17,5,18,18,11,8,2,21,24,5,11,24,25,3,8,9,25,7,5,5,25,7,5,14,4,24,18,8,1,7,18,4,11,18,8,9,18,4,18,2,12,17,11,14,14,17,4,4,18,6,12,6,4,1,15,12,12,1,4,7,3,18,14,21,6,17,21,8,18,24,8,6,5,6,6,4,4,17,7,21,5
ARG2,9,17,8,2,6,22,8,7,7,7,3,22,11,8,7,15,6,11,15,3,3,5,16,7,4,9,15,11,17,16,4,8,4,5,11,9,8,3,7,7,7,16,7,11,2,14,26,17,5,2,11,5,4,9,6,5,14,26,7,17,4,6,16,4,6,8,4,2,6,10,10,2,4,11,0,5,3,19,16,15,16,19,6,15,19,7,7,15,10,2,9,5,8,19,4,5
ASL,8,22,3,2,4,10,9,1,2,11,1,10,3,2,17,6,1,15,7,2,2,6,14,9,5,7,16,26,19,16,5,9,5,2,26,9,6,4,16,9,17,11,8,10,1,15,7,22,6,1,15,1,8,8,17,6,15,7,16,19,2,3,11,2,17,2,6,4,7,7,7,3,8,2,6,7,6,15,16,6,14,19,10,16,19,3,11,7,7,7,7,3,2,15,4,7
ASS1,19,9,5,5,4,5,17,9,5,12,0,5,4,5,14,18,2,12,19,5,3,3,7,12,4,19,20,8,16,12,3,17,2,3,8,4,5,6,10,12,14,25,2,3,4,16,26,9,3,4,12,6,2,19,13,9,16,26,10,16,8,6,25,4,13,8,5,4,8,12,12,4,5,5,8,2,2,13,12,18,7,13,2,20,13,4,12,19,10,6,19,3,8,13,4,5
CPS1,22,16,12,4,11,14,10,1,2,19,5,14,5,2,16,15,2,19,7,6,9,4,26,17,8,7,11,6,9,11,1,10,3,5,6,6,5,4,16,17,16,15,1,3,8,7,17,16,4,2,19,7,4,22,7,3,7,17,16,9,2,6,15,4,7,7,12,5,4,15,15,2,4,10,3,9,4,9,11,15,26,8,4,11,8,5,19,7,4,3,7,2,5,9,5,6
OTC,9,12,3,9,2,7,5,3,7,16,0,7,5,2,10,13,6,13,19,8,0,8,8,14,6,12,12,18,12,25,5,5,2,3,18,6,5,3,20,14,10,12,10,5,7,26,13,12,6,5,13,6,10,9,19,4,26,13,20,12,5,4,12,4,19,6,4,7,5,16,16,5,8,6,5,6,8,17,25,13,8,19,1,12,19,5,16,19,4,5,12,6,5,17,5,5
SLC25A15,16,16,1,7,1,11,16,2,4,7,1,11,5,2,15,8,1,9,10,1,0,3,15,7,2,14,17,19,7,11,13,16,1,4,19,0,9,6,7,7,15,19,2,8,6,6,15,16,7,5,9,4,4,16,9,5,6,15,7,7,1,3,19,4,9,4,6,4,10,26,26,5,2,9,1,10,7,22,11,8,15,17,5,17,17,3,7,10,5,8,14,5,3,22,4,6
NMRAL1,12,16,2,6,2,20,10,4,7,13,3,20,5,5,7,12,6,19,9,9,4,3,12,5,6,12,18,16,17,26,3,10,2,7,16,8,5,1,8,5,7,13,6,3,3,12,13,16,2,9,19,2,4,12,19,3,12,13,8,17,6,6,13,3,19,6,5,6,3,25,25,6,0,6,3,6,4,14,26,12,12,19,10,18,19,7,13,9,5,6,12,6,0,14,4,4
SLC25A2,16,11,5,7,3,26,14,6,2,9,3,26,3,8,16,9,5,8,7,10,2,6,6,16,4,15,19,15,17,15,5,14,6,2,15,2,6,6,11,16,16,19,5,3,5,17,7,11,4,5,8,3,7,16,7,6,17,7,11,17,5,8,19,5,7,2,3,5,3,7,7,3,4,6,4,3,5,10,15,9,6,22,5,19,22,8,9,7,2,4,15,0,3,10,5,4
NAGS,10,20,3,1,3,25,12,3,3,19,12,25,7,6,16,19,6,12,5,0,1,2,12,12,7,7,13,13,19,12,5,12,8,8,13,5,2,5,26,12,16,16,3,6,5,18,13,20,4,1,12,5,1,10,17,3,18,13,26,19,8,8,16,3,17,2,9,15,2,8,8,10,2,2,12,2,2,9,12,19,12,14,3,13,14,8,19,5,6,2,7,9,8,9,6,8
ALDH18A1,8,10,1,1,2,12,36,3,3,26,3,15,5,2,4,6,1,16,15,10,2,5,14,21,10,17,10,9,9,15,7,9,0,5,8,15,6,9,8,4,23,27,15,6,7,14,5,11,9,3,6,16,12,21,1,13,21,11,22,11,10,3,3,16,1,11,5,9,6,3,11,9,8,4,8,8,13,18,12,4,17,15,23,13,25,28,3,9,9,3,2,5,10,7,24,9
PADI2,23,17,9,1,6,10,8,6,2,11,6,9,3,5,4,17,9,21,24,9,4,3,15,13,8,36,13,16,3,22,3,21,7,4,7,27,4,6,9,0,15,10,8,1,11,14,3,9,6,10,1,26,2,21,2,10,11,15,11,13,16,3,0,25,3,10,1,12,4,6,15,12,2,8,9,10,12,11,28,9,10,15,11,15,14,18,14,7,9,8,3,6,16,6,23,6
DDAH2,15,10,3,8,3,17,23,9,2,15,1,6,12,7,7,36,6,11,23,21,2,7,22,12,8,8,15,25,2,11,9,21,4,6,0,10,9,4,12,4,24,13,9,9,3,15,6,16,17,5,3,11,5,13,5,16,9,27,15,10,26,4,9,14,7,16,6,3,5,9,9,10,3,9,7,14,28,10,18,5,9,8,13,15,14,11,8,3,4,4,9,12,21,8,11,4
PADI4,24,9,4,7,4,10,15,7,3,27,4,17,0,3,1,8,8,9,11,21,2,4,11,28,4,23,15,14,2,15,4,13,6,6,2,13,3,1,10,9,23,15,12,5,1,22,3,25,36,8,1,15,7,12,7,26,16,10,9,16,11,2,8,14,7,21,2,9,2,1,6,17,6,11,2,9,18,16,11,6,21,9,10,8,15,10,4,3,7,2,15,8,11,2,13,2
DDAH1,23,21,6,3,1,9,24,12,5,10,4,36,11,2,2,23,13,16,13,13,3,1,15,18,6,15,8,14,13,9,12,12,2,4,7,15,5,5,17,4,11,15,10,11,4,11,4,14,8,3,6,27,17,28,3,11,25,13,6,26,15,3,1,15,3,11,4,5,2,5,17,10,7,4,9,11,11,21,10,7,21,12,16,9,22,16,3,4,6,3,6,9,9,6,10,3
PADI1,11,21,5,5,1,21,23,5,7,13,7,8,5,13,3,15,2,25,10,12,2,8,9,11,5,24,9,15,7,6,4,28,7,12,0,15,5,9,10,2,13,8,17,4,2,15,2,14,23,5,1,10,3,18,3,15,14,15,17,11,27,5,6,22,3,9,1,4,0,6,36,9,2,7,6,8,10,11,16,2,13,10,26,12,11,21,1,7,9,4,5,4,16,7,16,2
PADI3,13,13,4,5,2,21,11,3,4,15,7,23,2,8,8,24,5,14,16,28,5,5,6,10,3,23,12,22,1,17,9,18,8,8,4,8,6,7,9,4,10,9,10,4,3,9,4,15,15,4,7,13,6,11,5,27,14,15,36,15,10,3,4,11,19,16,0,11,9,9,8,21,1,7,9,2,16,9,21,2,12,17,11,10,15,11,11,0,3,4,9,4,25,0,26,6
PADI6,10,12,5,4,4,13,13,2,2,15,1,15,8,5,2,23,1,14,26,18,2,2,17,16,14,11,10,11,6,36,6,11,11,8,2,9,5,1,21,6,16,12,9,3,4,6,5,22,24,4,13,15,19,10,0,10,15,8,8,27,13,2,7,15,5,25,6,6,7,4,23,21,9,6,7,3,21,16,11,5,28,10,15,17,9,9,0,9,2,6,15,5,14,7,11,3
EIF6,13,19,4,4,4,39,19,2,11,9,13,39,2,7,7,24,6,23,2,12,1,6,19,13,3,12,23,13,1,13,5,19,5,7,2,13,6,2,16,5,13,7,13,5,4,6,2,9,19,7,1,23,5,13,2,23,9,9,16,6,6,0,10,7,10,23,0,5,4,6,21,21,4,4,9,10,2,6,10,2,24,19,25,6,23,25,3,6,1,6,8,4,6,2,10,8
NUP88,2,14,4,1,2,18,20,13,3,22,6,18,6,11,6,8,5,23,16,30,8,6,5,19,6,30,22,10,8,24,6,20,3,7,12,10,3,13,25,8,19,15,24,5,3,11,3,16,14,1,3,23,4,2,12,10,22,16,25,16,19,4,5,15,5,10,14,11,6,9,4,4,8,1,1,6,16,16,25,4,8,5,10,11,22,10,5,9,0,9,0,3,19,1,25,2
RAN,16,23,3,10,3,7,13,6,3,2,3,7,4,10,1,6,3,13,39,19,2,9,23,21,3,19,23,25,5,9,6,13,15,1,2,25,3,7,9,5,21,6,9,5,4,6,7,10,23,4,3,13,8,16,3,19,2,10,9,12,13,5,12,6,8,19,3,5,18,7,13,13,1,3,1,9,39,12,19,2,6,23,24,6,23,24,5,4,10,1,2,3,13,9,19,9
ABCE1,25,22,2,3,2,15,24,6,2,16,2,15,7,6,8,11,12,19,18,5,2,1,23,4,7,5,10,10,2,22,2,24,3,6,7,10,0,1,16,7,4,16,22,3,4,19,5,25,22,5,3,19,7,25,8,20,16,25,16,30,2,5,3,16,3,20,5,5,3,1,10,10,2,1,1,2,18,30,14,3,11,23,8,19,10,8,9,6,8,5,0,14,2,8,14,6
XPO1,16,10,10,6,1,16,22,5,6,18,11,16,7,2,4,19,12,4,15,23,9,6,19,10,4,23,20,8,7,16,5,22,4,5,1,8,5,10,25,10,10,30,16,6,8,2,2,14,10,2,5,4,2,16,11,24,18,14,25,5,25,6,4,30,4,24,2,4,19,3,10,10,3,5,2,2,15,5,22,3,19,19,11,2,20,11,3,0,5,9,11,6,25,3,22,7
RRS1,10,19,5,5,8,12,2,17,6,7,0,12,9,6,2,13,5,13,6,13,1,7,21,25,3,13,13,6,5,39,2,2,5,2,7,6,7,2,19,4,25,19,39,4,7,16,4,23,19,7,8,13,7,10,5,9,7,23,19,23,9,11,6,19,4,9,7,7,2,2,24,24,3,6,5,13,6,23,23,2,13,21,6,16,13,6,9,6,9,5,12,6,9,4,23,8
NMD3,25,20,3,4,7,30,16,8,1,15,3,30,5,0,6,2,2,10,16,19,10,13,4,10,3,19,24,11,8,18,4,16,7,1,6,11,9,5,14,13,10,5,18,12,0,25,6,22,20,8,2,10,5,25,4,22,15,22,14,23,16,9,3,5,6,22,3,4,3,8,8,8,3,2,5,6,16,23,10,1,2,4,19,25,24,19,5,4,5,4,6,3,16,1,10,11
SDAD1,19,13,5,5,3,19,39,9,5,6,3,19,2,3,6,16,7,25,12,21,3,2,13,24,11,21,9,6,4,7,10,39,6,2,6,6,3,2,23,4,24,23,7,9,3,9,12,23,13,2,0,25,4,19,3,2,6,23,23,13,10,2,4,23,11,2,6,12,4,2,6,6,4,4,4,6,12,13,19,3,16,13,13,9,9,13,4,5,1,5,2,6,10,16,19,1
LTV1,14,24,4,6,4,5,18,1,3,16,3,5,6,4,6,25,4,10,30,4,4,5,10,8,9,4,22,19,5,15,5,18,1,4,1,19,2,3,22,9,8,23,15,8,7,16,7,10,24,6,5,10,5,14,12,16,16,10,22,19,25,1,1,23,3,16,3,2,1,3,11,11,3,7,14,4,30,19,20,3,25,10,2,16,22,2,12,1,3,6,6,4,25,9,20,3
KPNB1,19,23,9,1,10,20,12,13,4,10,11,20,3,6,10,20,2,23,23,11,6,7,10,20,3,13,20,12,12,13,2,12,1,5,12,1,3,5,12,20,10,19,1,3,4,23,13,23,3,13,23,3,0,19,19,3,23,13,12,12,2,2,19,5,19,4,6,9,12,19,19,7,1,4,6,3,5,10,13,20,10,13,5,20,13,2,10,23,5,4,13,3,1,10,6,4
TNPO1,6,31,15,10,4,19,12,2,3,7,3,19,5,11,7,19,6,31,31,1,5,4,7,19,8,26,19,12,12,26,7,12,6,2,12,8,5,1,12,19,7,6,2,2,1,31,26,31,2,2,31,7,7,6,6,12,31,26,12,12,13,5,6,4,6,6,2,3,6,6,6,5,3,0,12,3,5,7,26,19,7,26,7,19,26,3,7,31,8,6,26,5,1,7,4,2
IPO5,8,8,5,5,4,22,14,6,1,12,2,22,9,0,12,22,6,8,8,9,2,2,12,22,2,11,22,14,14,11,5,14,5,2,14,5,6,4,14,22,12,8,4,10,2,8,11,8,5,5,8,2,4,8,8,4,8,11,14,14,5,2,8,0,8,5,9,8,2,8,8,3,4,2,2,1,3,12,11,22,12,11,15,22,11,4,12,8,5,4,11,6,0,12,9,4
NUP98,10,17,1,3,6,15,11,3,7,42,2,15,7,3,42,15,11,17,17,4,12,4,42,15,2,10,15,11,11,10,4,11,3,3,11,1,1,7,11,15,42,10,1,5,2,17,10,17,5,13,17,5,6,10,10,7,17,10,11,11,1,1,10,3,10,4,8,11,6,10,10,6,3,4,9,4,6,42,10,15,42,10,10,15,10,1,42,17,3,8,10,1,2,42,7,8
NUP205,6,27,4,4,5,13,2,4,1,8,12,13,14,3,8,13,11,27,27,0,0,7,8,13,12,7,13,2,2,7,3,2,5,2,2,2,4,5,2,13,8,6,13,0,4,27,7,27,8,12,27,9,2,6,6,3,27,7,2,2,4,7,6,9,6,5,2,11,3,6,6,12,1,1,5,5,12,8,7,13,8,7,2,13,7,6,8,27,1,1,7,4,5,8,4,11
RANBP6,7,17,4,4,4,19,3,0,3,19,5,19,6,3,19,19,5,17,17,9,12,3,19,19,1,18,19,3,3,18,3,3,1,4,3,7,6,6,3,19,19,7,3,1,6,17,18,17,5,7,17,5,8,7,7,2,17,18,3,3,8,8,7,4,7,8,10,5,9,7,7,2,6,7,5,7,9,19,18,19,19,18,3,19,18,9,19,17,5,2,18,7,5,19,10,3
TNPO2,21,11,3,4,4,6,10,0,1,15,6,6,3,2,15,6,3,11,11,1,5,1,15,6,4,11,6,10,10,11,13,10,9,2,10,5,2,6,10,6,15,21,1,1,6,11,11,11,8,6,11,5,8,21,21,0,11,11,10,10,7,1,21,2,21,5,3,3,5,21,21,0,4,11,3,0,2,15,11,6,15,11,5,6,11,7,15,11,6,4,11,9,3,15,8,7
IPO4,5,24,2,1,5,18,19,2,14,8,1,18,2,1,8,18,2,24,24,9,2,4,8,18,8,7,18,19,19,7,9,19,3,6,19,8,5,2,19,18,8,5,2,2,3,24,7,24,3,0,24,2,12,5,5,4,24,7,19,19,1,5,5,4,5,1,1,3,6,5,5,4,2,6,5,4,0,8,7,18,8,7,3,18,7,1,8,24,6,3,7,1,15,8,2,8
BCL3,12,8,2,8,3,17,13,5,6,25,2,17,6,4,8,10,10,15,22,12,3,6,23,15,1,12,11,13,4,14,2,13,6,7,8,13,6,7,16,6,15,16,14,8,6,7,4,11,8,10,5,15,4,12,1,15,25,11,16,14,21,8,3,16,4,15,5,4,3,6,28,28,9,4,10,7,22,14,9,9,10,23,19,7,11,19,9,6,4,4,6,7,21,1,9,6
CDKN1A,11,20,4,6,3,15,12,8,4,11,4,15,5,2,5,19,4,13,7,9,7,7,12,20,8,9,9,17,6,21,2,12,3,4,6,17,5,8,14,5,20,16,21,7,5,18,6,21,20,2,5,13,7,11,2,12,11,21,14,10,12,6,4,16,11,12,9,4,3,11,18,18,3,3,2,4,7,10,7,7,19,12,18,18,9,18,3,3,1,0,6,7,12,6,7,8
GAS6,12,28,7,6,4,16,10,6,4,21,3,16,4,3,8,17,6,15,12,8,8,10,11,13,5,8,13,25,5,7,1,10,4,5,5,25,12,7,23,2,13,11,7,0,2,16,7,15,28,8,2,15,3,12,4,19,21,15,23,9,14,5,5,11,6,19,4,3,4,6,14,14,5,7,4,2,12,9,15,4,17,11,22,16,13,22,8,6,7,3,4,3,14,4,15,4
GCKR,17,12,8,4,5,12,21,10,1,20,1,12,8,5,2,13,2,15,9,11,5,7,7,16,1,11,11,9,2,7,3,21,4,0,8,9,5,9,18,4,16,12,7,4,4,20,7,19,12,7,6,15,3,17,3,14,20,19,18,21,18,5,3,12,8,14,2,3,7,5,10,10,1,6,2,9,9,21,18,2,13,7,12,20,11,12,2,2,3,2,7,5,18,8,18,3
HSP90AA1,25,14,8,4,7,19,15,4,5,28,3,19,4,4,4,15,2,16,13,21,9,4,12,11,8,21,12,8,5,15,3,15,4,5,7,8,4,7,22,4,11,10,15,2,4,13,3,17,14,6,10,16,6,25,3,23,28,17,22,7,14,2,3,10,1,23,5,6,3,5,9,9,4,7,7,5,13,7,16,7,15,12,11,13,12,11,7,8,5,3,2,3,14,3,16,4
IL6,21,9,2,9,7,22,15,12,2,14,6,22,7,3,7,19,3,23,25,14,6,3,12,15,3,14,8,28,6,13,4,15,8,6,5,28,2,7,12,5,15,17,13,5,5,10,7,16,9,0,3,23,4,21,6,11,14,16,12,16,7,5,6,17,3,11,5,3,6,8,15,15,8,8,6,7,25,16,11,5,19,12,13,10,8,13,6,2,6,1,1,0,7,7,11,5
JAK2,20,21,8,4,2,12,15,2,3,10,5,12,9,3,8,14,7,18,9,18,9,2,17,19,6,18,11,12,4,16,3,15,5,3,0,12,5,2,9,3,19,13,16,7,7,21,10,12,21,9,1,18,3,20,6,7,10,12,9,20,7,0,5,13,6,7,6,3,4,9,18,18,9,4,7,4,9,20,12,5,14,17,11,21,11,11,10,4,3,0,6,4,7,2,12,3
NFKBIA,14,16,3,2,8,13,23,8,7,15,5,13,9,4,4,11,8,12,28,7,5,4,21,16,3,7,14,9,8,15,4,23,8,4,6,9,11,4,25,2,16,19,15,2,6,15,4,22,16,9,10,12,1,14,2,12,15,22,25,10,13,3,5,19,7,12,5,4,2,3,11,11,6,2,3,8,28,10,17,4,11,21,8,15,14,8,1,2,3,9,5,6,13,4,17,7
OGG1,10,20,2,7,2,11,18,3,2,18,3,11,2,11,4,7,7,9,12,7,2,4,20,12,4,7,18,21,6,19,5,18,9,7,4,21,8,4,9,2,12,14,19,6,2,15,5,12,20,1,3,9,7,10,5,17,18,12,9,21,16,5,2,14,6,17,9,2,2,8,12,12,8,5,6,5,12,21,13,3,7,20,11,15,18,11,5,2,5,3,1,6,16,4,13,3
OPRD1,9,13,3,4,10,12,22,7,7,16,5,12,6,3,9,12,6,13,14,15,3,1,28,19,5,15,14,7,0,17,4,22,4,4,6,7,1,9,8,5,19,23,17,3,2,16,5,11,13,3,1,13,3,9,9,25,16,11,8,15,11,8,7,23,6,25,5,4,7,6,10,10,7,5,7,14,14,15,15,9,12,28,21,16,14,21,3,9,3,3,3,5,11,6,15,5
PDE2A,7,11,4,6,5,25,11,1,4,13,11,25,5,8,8,13,1,12,14,16,5,9,14,23,5,16,9,15,11,15,3,11,6,4,8,15,5,2,21,3,23,22,15,5,4,19,4,12,11,4,3,12,5,7,6,8,13,12,21,17,10,5,0,22,4,8,7,6,9,3,15,15,3,4,3,8,14,17,16,6,13,14,28,19,9,28,1,4,3,8,6,3,10,2,16,7
SIX3,18,21,3,5,5,11,9,5,2,12,3,11,3,4,3,17,3,9,21,16,1,4,10,12,7,16,7,20,5,12,4,9,5,8,4,20,9,7,12,2,12,7,12,7,0,18,3,11,21,5,4,9,7,18,11,20,12,11,12,15,19,5,9,7,4,20,5,2,7,11,13,13,3,4,2,7,21,15,14,10,17,10,18,18,7,18,6,4,3,10,6,6,19,3,14,6
TNF,13,17,6,10,9,28,12,3,5,15,6,28,9,6,8,8,6,21,15,10,8,8,7,12,4,10,16,11,6,23,10,12,7,8,9,11,2,2,14,3,12,13,23,2,5,11,2,25,17,8,5,21,6,13,9,14,15,25,14,19,15,3,8,13,4,14,3,3,2,3,16,16,7,4,9,3,15,19,22,6,8,7,9,11,16,9,10,6,8,1,2,2,15,7,22,4
TXN,16,13,0,1,4,12,17,5,3,19,2,12,1,3,6,11,5,20,18,21,7,7,7,9,5,21,20,12,2,18,5,17,8,12,6,12,9,1,10,2,9,11,18,3,3,7,3,9,13,5,7,20,4,16,4,18,19,9,10,14,15,7,5,11,10,18,5,6,9,6,12,12,5,9,2,2,18,14,12,3,11,7,21,7,20,21,4,4,9,2,7,1,15,2,12,4
NUTF2,21,12,6,8,8,10,11,4,1,15,6,10,4,6,3,12,7,18,16,13,6,9,20,17,4,13,12,19,9,7,4,11,6,2,9,19,6,2,7,2,17,9,7,4,10,11,5,20,12,7,9,18,3,21,6,21,15,20,7,12,14,5,3,9,6,21,9,5,5,6,18,18,8,8,0,1,16,12,9,8,12,20,18,11,12,18,7,7,5,3,1,3,14,6,9,4
